Filename,Turnover,Operating Profit,Profit Before Tax,Profit/Loss for Year,Currency
138763_2020 account,9.0,None,None,None,EUR
138763_2021 account,8.0,None,None,None,EUR
182294_2014 account,10.0,None,None,None,EUR
182294_2018 account,None,None,None,None,USD
182294_2019 account,None,None,None,None,USD
182294_2020 account,12.0,None,None,None,USD
182294_2021 account,12.0,None,None,None,USD
182294_2022 account,11.0,None,None,None,USD
76927_2018 account,None,None,None,None,USD
76927_2019 account,None,None,None,None,USD
76927_2021 account,2021.0,None,None,None,USD
79963_2018 account,20.0,None,None,None,USD
79963_2019 account,1205000.0,None,None,None,USD
79963_2021 account,1400000000.0,None,None,2324582000.0,USD
81753_2016 account,None,None,None,None,USD
81753_2016 account1,None,None,None,None,USD
81753_2018 account,None,None,None,None,USD
81753_2020 account,None,None,None,None,USD
81753_2021 account,None,None,None,None,USD
904750_2024 account,None,None,None,None,USD
