Filename,Turnover,Operating Profit,Profit Before Tax,Profit/Loss for Year,Currency
138763_2020 account,None,None,None,None,Unknown
138763_2021 account,None,None,None,None,Unknown
182294_2014 account,None,None,None,None,Unknown
182294_2018 account,None,None,None,None,Unknown
182294_2019 account,None,None,None,None,USD
182294_2020 account,None,None,None,None,Unknown
182294_2021 account,None,None,None,None,Unknown
182294_2022 account,None,None,None,None,Unknown
76927_2018 account,None,None,None,None,USD
76927_2019 account,None,None,None,None,USD
76927_2021 account,None,None,None,None,USD
79963_2018 account,None,None,None,None,Unknown
79963_2019 account,None,None,None,None,Unknown
79963_2021 account,None,None,None,None,Unknown
81753_2016 account,None,None,None,None,Unknown
81753_2016 account1,None,None,None,None,Unknown
81753_2018 account,None,None,None,None,Unknown
81753_2020 account,None,None,None,None,Unknown
81753_2021 account,None,None,None,None,Unknown
904750_2024 account,None,None,None,None,Unknown
