Company File,Currency,Turnover,Operating Profit,Profit Before Tax,Profit/Loss for Year,Data Completeness,Notes
138763-Account_details_for_ARCROYAL_LIMITED-2018-09-30_pl,Unknown,,,,,0%,INCOMPLETE - May need manual extraction; Currency not detected
138763-Account_details_for_ARCROYAL_LIMITED-2019-09-30_pl,Unknown,,,,,0%,INCOMPLETE - May need manual extraction; Currency not detected
138763-Account_details_for_ARCROYAL_LIMITED-2020-09-30_pl,Unknown,,,,,0%,INCOMPLETE - May need manual extraction; Currency not detected
138763_2020 account_pl,Unknown,,,,,0%,INCOMPLETE - May need manual extraction; Currency not detected
138763_2021 account_pl,EUR,31442.0,2086.0,2020.0,31.0,100%,
182294_2014 account_pl,Unknown,,,,,0%,INCOMPLETE - May need manual extraction; Currency not detected
182294_2018 account_pl,Unknown,,,,,0%,INCOMPLETE - May need manual extraction; Currency not detected
182294_2019 account_pl,Unknown,,,,2019.0,25%,INCOMPLETE - May need manual extraction; Currency not detected
182294_2020 account_pl,Unknown,,,,,0%,INCOMPLETE - May need manual extraction; Currency not detected
182294_2021 account_pl,Unknown,,,,,0%,INCOMPLETE - May need manual extraction; Currency not detected
182294_2022 account_pl,Unknown,,,,,0%,INCOMPLETE - May need manual extraction; Currency not detected
210890_2019 Account_pl,USD,9.0,,,,25%,INCOMPLETE - May need manual extraction
76927_2018 account_pl,USD,,,,,0%,INCOMPLETE - May need manual extraction
76927_2019 account_pl,USD,2.0,,,38.0,50%,
76927_2021 account_pl,USD,,,,,0%,INCOMPLETE - May need manual extraction
79963_2018 account_pl,USD,,42.0,1904031.0,1904031000.0,75%,
79963_2019 account_pl,USD,,120.0,538276.0,538276000.0,75%,
79963_2021 account_pl,USD,,115.0,1500000000.0,2324582000.0,75%,
81753_2016 account1_pl,USD,,,,2016.0,25%,INCOMPLETE - May need manual extraction
81753_2016 account_pl,USD,,,,2016.0,25%,INCOMPLETE - May need manual extraction
81753_2018 account_pl,USD,,,1.0,,25%,INCOMPLETE - May need manual extraction
81753_2020 account_pl,USD,1.0,,300000.0,2014.0,75%,
81753_2021 account_pl,USD,,,,103.0,25%,INCOMPLETE - May need manual extraction
904750_2024 account_pl,USD,971971.0,24572.0,28682.0,27294.0,100%,
