Filename,Currency,Turnover,Operating Profit,Profit Before Tax,Profit/Loss for Year
138763_2021 account_pl,EUR,1.6,,,31.0
182294_2019 account_pl,Unknown,,,,2019.0
76927_2019 account_pl,USD,2019.0,,28.0,28.0
76927_2021 account_pl,USD,2021.0,,,25.0
79963_2018 account_pl,USD,,,,1904031000.0
79963_2019 account_pl,USD,,,,538276000.0
79963_2021 account_pl,USD,,,1500000000.0,2324582000.0
81753_2016 account1_pl,USD,650.0,2017.0,30.0,2016.0
81753_2016 account_pl,USD,650.0,2017.0,30.0,2016.0
81753_2018 account_pl,USD,2018.0,1.0,1.0,
904750_2024 account_pl,USD,,,14.0,
