Filename,Turnover,Operating Profit,Profit Before Tax,Profit/Loss for Year,Currency
138763-Account_details_for_ARCROYAL_LIMITED-2018-09-30_pl,481051.0,163.0,197.0,None,EUR
138763-Account_details_for_ARCROYAL_LIMITED-2019-09-30_pl,3888.0,-2017398000.0,4029.0,160.0,EUR
138763-Account_details_for_ARCROYAL_LIMITED-2020-09-30_pl,113.0,None,2019.0,101.0,EUR
138763_2020 account_pl,34711.0,2086.0,2536.0,None,EUR
138763_2021 account_pl,31442.0,680.0,586.0,465.0,EUR
182294_2014 account_pl,431879.0,1479.0,7493.0,3815.0,EUR
182294_2018 account_pl,668926.0,3918.0,-6956.0,-256.0,EUR
182294_2019 account_pl,None,None,111.0,101.0,EUR
182294_2020 account_pl,312020.0,796183.0,-60246.0,20000.0,EUR
182294_2021 account_pl,807238.0,67406.0,1859.0,-3611.0,EUR
182294_2022 account_pl,16034.0,4362.0,35792.0,None,EUR
210890_2019 Account_pl,152521807.0,None,None,-3494287.0,EUR
76927_2018 account_pl,None,None,None,None,EUR
76927_2019 account_pl,None,218.8,211.0,238.0,EUR
76927_2021 account_pl,178246.0,None,None,211058.0,EUR
79963_2018 account_pl,None,-6988.0,-1904031.0,-1904031.0,EUR
79963_2019 account_pl,None,-120.0,-538276.0,-538276.0,EUR
79963_2021 account_pl,None,-115.0,None,-538276.0,EUR
81753_2016 account1_pl,2006.0,602.0,422.0,6547.0,EUR
81753_2016 account_pl,2006.0,602.0,422.0,6547.0,EUR
81753_2018 account_pl,3089.0,1533.0,201.0,659.0,EUR
81753_2020 account_pl,90.0,None,300000.0,-1377.0,EUR
81753_2021 account_pl,4991.0,5012.0,20.0,100.0,EUR
904750_2024 account_pl,971971.0,None,65155.0,-27294.0,USD
